,Ticker,Start Date,End Date,Avg Percent Change,Outlier Year
0,CHTR,2010-06-08,2010-07-08,0.05869453210402108,
1,EXR,2010-06-08,2010-07-08,0.030666604995025888,
2,AMT,2010-06-09,2010-07-09,0.04718490330961025,
3,FISV,2010-06-09,2010-07-09,0.03413209816229591,
4,DXCM,2010-06-09,2010-07-09,0.0760755597380979,
5,BDX,2010-06-09,2010-07-09,0.03257439818048693,
6,ATVI,2010-06-09,2010-07-09,0.056897439678608074,
7,STE,2010-06-10,2010-07-12,0.029952495591357733,
8,BAX,2010-06-10,2010-07-12,0.04006029449209096,
9,BIIB,2010-06-10,2010-07-12,0.06216810420522492,
10,ATVI,2010-06-10,2010-07-12,0.04794895792263392,
11,GOOGL,2010-06-11,2010-07-13,0.03180570310064627,
12,BR,2010-06-11,2010-07-13,0.036536347726268036,
13,GOOG,2010-06-11,2010-07-13,0.03019743248492888,
14,AMZN,2010-06-11,2010-07-13,0.05539164744547672,
15,EQIX,2010-06-11,2010-07-13,0.029547692524815324,
16,ATVI,2010-06-11,2010-07-13,0.04431473634658276,
17,FTNT,2010-06-11,2010-07-13,0.057217137150458876,
18,SNPS,2010-06-11,2010-07-13,0.02476441930213964,
19,STE,2010-06-11,2010-07-13,0.03033130456540765,
20,CHTR,2010-06-14,2010-07-14,0.05341738933190798,
21,FTNT,2010-06-14,2010-07-14,0.055700019443652236,
22,GOOG,2010-06-14,2010-07-14,0.03808510295725054,
23,V,2010-06-14,2010-07-14,0.048037653728730735,
24,GOOGL,2010-06-14,2010-07-14,0.03980406726396988,
25,CHTR,2010-06-15,2010-07-15,0.04913220136456279,
26,BAX,2010-06-15,2010-07-15,0.03489408931173933,
27,ATVI,2010-06-17,2010-07-19,0.03802022405199992,
28,BAX,2010-06-17,2010-07-19,0.0365986192361271,
29,MCO,2010-06-18,2010-07-20,0.04692167525048628,
30,DFS,2010-06-18,2010-07-20,0.05894153950583327,
31,MSCI,2010-06-21,2010-07-21,0.039004037688922334,
32,ABT,2010-06-21,2010-07-21,0.04389955790879505,
33,BR,2010-06-22,2010-07-22,0.03696728934435452,
34,EFX,2010-06-22,2010-07-22,0.038176318254401986,
35,ATVI,2010-06-22,2010-07-22,0.05136940852913163,
36,O,2010-06-22,2010-07-22,0.04141045444409101,
37,CMCSA,2010-06-22,2010-07-22,0.04564196893093338,
38,ABT,2010-06-22,2010-07-22,0.04962993551169611,
39,ABMD,2010-06-22,2010-07-22,0.07936213881088425,
40,BKNG,2010-06-23,2010-07-23,0.06423613482996783,
41,TFX,2010-06-23,2010-07-23,0.029392748936289792,
42,ATVI,2010-06-23,2010-07-23,0.048830497711360964,
43,ABT,2010-06-23,2010-07-23,0.05489656280084235,
44,O,2010-06-23,2010-07-23,0.040040406099103636,
45,EQR,2010-06-23,2010-07-23,0.040028738523778966,
46,ESS,2010-06-23,2010-07-23,0.03922552385210487,
47,O,2010-06-24,2010-07-26,0.03930975845358442,
48,GOOGL,2010-06-24,2010-07-26,0.08480146365420654,
49,ABT,2010-06-24,2010-07-26,0.05395760945213222,
50,TFX,2010-06-24,2010-07-26,0.025939356855249986,
51,DIS,2010-06-24,2010-07-26,0.04010623707287494,
52,ESS,2010-06-24,2010-07-26,0.04208881653232064,
53,CINF,2010-06-24,2010-07-26,0.0403376615823834,
