,Ticker,Start Date,End Date,Avg Percent Change,Outlier Year
0,FISV,2010-06-08,2010-07-08,0.03251724826691717,2017.0
1,OKE,2010-06-08,2010-07-08,0.03865816165179313,2013.0
2,GILD,2010-06-08,2010-07-08,0.04666333151440457,2015.0
3,DXCM,2010-06-08,2010-07-08,0.08474835928766143,2014.0
4,CHTR,2010-06-08,2010-07-08,0.05869453210402108,
5,AVB,2010-06-08,2010-07-08,0.04364667263407837,2017.0
6,ED,2010-06-08,2010-07-08,0.0390018478399384,2017.0
7,AIZ,2010-06-08,2010-07-08,0.04629088023019855,2014.0
8,COO,2010-06-08,2010-07-08,0.06383436593898474,2012.0
9,ES,2010-06-08,2010-07-08,0.037865946108763635,2017.0
10,EVRG,2010-06-08,2010-07-08,0.036110975519864266,2017.0
11,NKE,2010-06-08,2010-07-08,0.04866499668000288,2012.0
12,MSCI,2010-06-08,2010-07-08,0.0314493651953712,2013.0
13,ESS,2010-06-08,2010-07-08,0.04464040482326375,2017.0
14,CMS,2010-06-08,2010-07-08,0.040252105014849576,2017.0
15,EIX,2010-06-08,2010-07-08,0.05046936743591219,2017.0
16,EQR,2010-06-08,2010-07-08,0.044009665572749115,2017.0
17,ATO,2010-06-08,2010-07-08,0.03939715999959696,2017.0
18,KMB,2010-06-08,2010-07-08,0.02086418431070341,2017.0
19,ETR,2010-06-08,2010-07-08,0.02636670411556036,2017.0
20,ABC,2010-06-08,2010-07-08,0.03569987126383865,2018.0
21,DTE,2010-06-08,2010-07-08,0.043063040196704636,2017.0
22,CLX,2010-06-08,2010-07-08,0.017612642543028426,2017.0
23,EXR,2010-06-08,2010-07-08,0.030666604995025888,
24,FIS,2010-06-08,2010-07-08,0.030400016052662245,2011.0
25,ALGN,2010-06-08,2010-07-08,0.044588229992077115,2019.0
26,BR,2010-06-08,2010-07-08,0.032435508903776174,2014.0
27,DIS,2010-06-08,2010-07-08,0.03430771267499883,2017.0
28,PSA,2010-06-08,2010-07-08,0.04163572829076629,2017.0
29,BDX,2010-06-08,2010-07-08,0.03382423322474019,2014.0
30,FTNT,2010-06-08,2010-07-08,0.056390017370746615,2016.0
31,FRT,2010-06-08,2010-07-08,0.040208971987960765,2013.0
32,ARE,2010-06-08,2010-07-08,0.02741578858172485,2019.0
33,DPZ,2010-06-08,2010-07-08,0.03367550751521595,2010.0
34,DLTR,2010-06-08,2010-07-08,0.04244793843922033,2017.0
35,DLR,2010-06-08,2010-07-08,0.04200759149600132,2017.0
36,PEP,2010-06-08,2010-07-08,0.028275197080789093,2017.0
37,BAX,2010-06-08,2010-07-08,0.04225247330916783,2018.0
38,CMCSA,2010-06-08,2010-07-08,0.05820735796069744,2017.0
39,LNT,2010-06-08,2010-07-08,0.0408088471580504,2017.0
40,XEL,2010-06-08,2010-07-08,0.04105536773869933,2017.0
41,VTR,2010-06-08,2010-07-08,0.044569117088228825,2013.0
42,D,2010-06-08,2010-07-08,0.03693398131536934,2017.0
43,D,2010-06-09,2010-07-09,0.03575657335053898,2017.0
44,HBI,2010-06-09,2010-07-09,0.047183958399697364,2010.0
45,XEL,2010-06-09,2010-07-09,0.04005036748499819,2017.0
46,NKE,2010-06-09,2010-07-09,0.05549445229802192,2012.0
47,OKE,2010-06-09,2010-07-09,0.04964607620482095,2013.0
48,EIX,2010-06-09,2010-07-09,0.049935273441196776,2017.0
49,DTE,2010-06-09,2010-07-09,0.04204814539577975,2017.0
50,ESS,2010-06-09,2010-07-09,0.05053667572185938,2017.0
